ID,Groups,Description,Baseline [04-22 20:07],[04-23 11:34],[04-23 11:58],[04-23 16:23]
,CLI API Classes - ContextStack,ContextStack push increases depth,OK/OK,--/OK,--/OK,--/OK
,CLI API Classes - ContextStack,ContextStack push changes cwd,OK/OK,--/OK,--/OK,--/OK
,CLI API Classes - ContextStack,ContextStack pop decreases depth,OK/OK,--/OK,--/OK,--/OK
,CLI API Classes - ContextStack,ContextStack pop restores cwd,OK/OK,--/OK,--/OK,--/OK
,Enums - MultilineMode,MultilineMode.none is available,OK/OK,--/OK,--/OK,--/OK
,Enums - MultilineMode,MultilineMode.script is available,OK/OK,--/OK,--/OK,--/OK
,Enums - MultilineMode,MultilineMode.file is available,OK/OK,--/OK,--/OK,--/OK
,Enums - MultilineMode,MultilineMode.executeNew is available,OK/OK,--/OK,--/OK,--/OK
,Enums - MultilineMode,MultilineMode.define is available,OK/OK,--/OK,--/OK,--/OK
,Enums - MultilineMode,MultilineMode enum has multiple values,OK/OK,--/OK,--/OK,--/OK
,Enums - SymbolKind,SymbolKind.package is available,OK/OK,--/OK,--/OK,--/OK
,Enums - SymbolKind,SymbolKind.class_ is available,OK/OK,--/OK,--/OK,--/OK
,Enums - SymbolKind,SymbolKind.method is available,OK/OK,--/OK,--/OK,--/OK
,Enums - SymbolKind,SymbolKind.variable is available,OK/OK,--/OK,--/OK,--/OK
,Enums - SymbolKind,SymbolKind.enum_ is available,OK/OK,--/OK,--/OK,--/OK
,Enums - DCli Enums,FetchMethod.get is available,OK/OK,--/OK,--/OK,--/OK
,Enums - DCli Enums,FetchMethod.post is available,OK/OK,--/OK,--/OK,--/OK
,Enums - DCli Enums,FetchStatus.complete is available,OK/OK,--/OK,--/OK,--/OK
,Enums - DCli Enums,SortDirection.ascending is available,OK/OK,--/OK,--/OK,--/OK
,Enums - DCli Enums,SortDirection.descending is available,OK/OK,--/OK,--/OK,--/OK
,Enums - DCli Enums,Find.file is available,OK/OK,--/OK,--/OK,--/OK
,Enums - DCli Enums,Find.directory is available,OK/OK,--/OK,--/OK,--/OK
,Enums - DCli Enums,Find.link is available,OK/OK,--/OK,--/OK,--/OK
,Integration - Complex File Operations,"create, modify, and verify file",OK/OK,--/OK,--/OK,--/OK
,Integration - Complex File Operations,copy file tree and verify structure,OK/OK,--/OK,--/OK,--/OK
,Integration - Complex File Operations,find files and count results,OK/OK,--/OK,--/OK,--/OK
,Integration - Complex File Operations,"backup, modify, and restore file",OK/OK,--/OK,--/OK,--/OK
,Integration - Complex File Operations,"create temp directory, add files, clean up",OK/OK,--/OK,--/OK,--/OK
,Integration - Complex File Operations,use DartSdk and verify properties,OK/OK,--/OK,--/OK,--/OK
,Integration - Complex File Operations,use which to find multiple commands,OK/OK,--/OK,--/OK,--/OK
,Integration - Complex File Operations,"create and use NamedLock with callback (deprecated in dcli 8.4.2, throws UnsupportedError)",OK/OK,--/OK,--/OK,--/OK
,Integration - Complex File Operations,create and use NamedLock with withLockAsync,OK/OK,--/OK,--/OK,--/OK
,Integration - Complex File Operations,chain file operations,OK/OK,--/OK,--/OK,--/OK
,Integration - Complex File Operations,create directory hierarchy and verify,OK/OK,--/OK,--/OK,--/OK
,Integration - Complex File Operations,createSymLink + resolveSymLink + deleteSymlink chain,OK/OK,--/OK,--/OK,--/OK
,Integration - Error Handling,exists returns false for nonexistent path,OK/OK,--/OK,--/OK,--/OK
,Integration - Error Handling,isFile returns false for nonexistent path,OK/OK,--/OK,--/OK,--/OK
,Integration - Error Handling,isDirectory returns false for nonexistent path,OK/OK,--/OK,--/OK,--/OK
,Integration - Error Handling,which returns not found for nonexistent command,OK/OK,--/OK,--/OK,--/OK
,Integration - Error Handling,createTempDir creates unique directories,OK/OK,--/OK,--/OK,--/OK
,Integration - Error Handling,createTempFile creates unique files,OK/OK,--/OK,--/OK,--/OK
,Integration - State Persistence,file modifications persist,OK/OK,--/OK,--/OK,--/OK
,Integration - State Persistence,directory modifications persist,OK/OK,--/OK,--/OK,--/OK
,Integration - State Persistence,file content modifications persist,OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > function persistence,recursive function,OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > function persistence,define multiple functions,OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > function persistence,"define function, call it later",OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > variable persistence,variable shadowing in new execution,OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > variable persistence,define multiple variables in one script,OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > variable persistence,variables persist across multiple evals,OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > variable persistence,modify variable in continued execution,OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > variable persistence,"define variable in script, verify exists",OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > properties,runtime provides access to process info,OK/OK,--/OK,--/OK,--/OK
,VS Code Scripting API - VSCodeWindow,getActiveTextEditor returns editor info,X/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > multiline script execution,multiline script returns last expression,OK/OK,--/OK,--/OK,--/OK
